concept_id,concept_name,concept_code,vocabulary_id,Feature
35211352,Parosmia,R43.1,ICD10CM,AnosmiaAgeusia
35211353,Parageusia,R43.2,ICD10CM,AnosmiaAgeusia
45573025,Unspecified disturbances of smell and taste,R43.9,ICD10CM,AnosmiaAgeusia
35211351,Anosmia,R43.0,ICD10CM,AnosmiaAgeusia
35211354,Other disturbances of smell and taste,R43.8,ICD10CM,AnosmiaAgeusia
1572242,Disturbances of smell and taste,R43,ICD10CM,AnosmiaAgeusia
35207120,Anxiety disorder due to known physiological condition,F06.4,ICD10CM,Anxiety
45571704,Organic anxiety disorder,F06.4,ICD10,Anxiety
45595906,Phobic anxiety disorders,F40,ICD10,Anxiety
1568221,Phobic anxiety disorders,F40,ICD10CM,Anxiety
45557204,Agoraphobia,F40.0,ICD10,Anxiety
1568222,Agoraphobia,F40.0,ICD10CM,Anxiety
45552480,"Agoraphobia, unspecified",F40.00,ICD10CM,Anxiety
45581459,Agoraphobia with panic disorder,F40.01,ICD10CM,Anxiety
45542847,Agoraphobia without panic disorder,F40.02,ICD10CM,Anxiety
1568223,Social phobias,F40.1,ICD10CM,Anxiety
45595907,Social phobias,F40.1,ICD10,Anxiety
45557205,"Social phobia, unspecified",F40.10,ICD10CM,Anxiety
45600742,"Social phobia, generalized",F40.11,ICD10CM,Anxiety
1568224,Specific (isolated) phobias,F40.2,ICD10CM,Anxiety
45586240,Specific (isolated) phobias,F40.2,ICD10,Anxiety
1568225,Animal type phobia,F40.21,ICD10CM,Anxiety
45562045,Arachnophobia,F40.210,ICD10CM,Anxiety
45586241,Other animal type phobia,F40.218,ICD10CM,Anxiety
1568226,Natural environment type phobia,F40.22,ICD10CM,Anxiety
45533102,Fear of thunderstorms,F40.220,ICD10CM,Anxiety
45566843,Other natural environment type phobia,F40.228,ICD10CM,Anxiety
1568227,"Blood, injection, injury type phobia",F40.23,ICD10CM,Anxiety
45600743,Fear of blood,F40.230,ICD10CM,Anxiety
45562046,Fear of injections and transfusions,F40.231,ICD10CM,Anxiety
45600744,Fear of other medical care,F40.232,ICD10CM,Anxiety
45571762,Fear of injury,F40.233,ICD10CM,Anxiety
1568228,Situational type phobia,F40.24,ICD10CM,Anxiety
45576544,Claustrophobia,F40.240,ICD10CM,Anxiety
45566844,Acrophobia,F40.241,ICD10CM,Anxiety
45533103,Fear of bridges,F40.242,ICD10CM,Anxiety
45538067,Fear of flying,F40.243,ICD10CM,Anxiety
45538068,Other situational type phobia,F40.248,ICD10CM,Anxiety
1568229,Other specified phobia,F40.29,ICD10CM,Anxiety
45552481,Androphobia,F40.290,ICD10CM,Anxiety
45586242,Gynephobia,F40.291,ICD10CM,Anxiety
45533104,Other specified phobia,F40.298,ICD10CM,Anxiety
45552482,Other phobic anxiety disorders,F40.8,ICD10,Anxiety
35207167,Other phobic anxiety disorders,F40.8,ICD10CM,Anxiety
45542848,"Phobic anxiety disorder, unspecified",F40.9,ICD10,Anxiety
35207168,"Phobic anxiety disorder, unspecified",F40.9,ICD10CM,Anxiety
1568230,Other anxiety disorders,F41,ICD10CM,Anxiety
45571763,Other anxiety disorders,F41,ICD10,Anxiety
35207169,Panic disorder [episodic paroxysmal anxiety],F41.0,ICD10CM,Anxiety
45562047,Panic disorder [episodic paroxysmal anxiety],F41.0,ICD10,Anxiety
35207170,Generalized anxiety disorder,F41.1,ICD10CM,Anxiety
45571764,Generalized anxiety disorder,F41.1,ICD10,Anxiety
45566845,Mixed anxiety and depressive disorder,F41.2,ICD10,Anxiety
45605492,Other mixed anxiety disorders,F41.3,ICD10,Anxiety
35207171,Other mixed anxiety disorders,F41.3,ICD10CM,Anxiety
35207172,Other specified anxiety disorders,F41.8,ICD10CM,Anxiety
45595908,Other specified anxiety disorders,F41.8,ICD10,Anxiety
45542849,"Anxiety disorder, unspecified",F41.9,ICD10,Anxiety
35207173,"Anxiety disorder, unspecified",F41.9,ICD10CM,Anxiety
45591139,Acute stress reaction,F43.0,ICD10,Anxiety
35207175,Acute stress reaction,F43.0,ICD10CM,Anxiety
37402472,Other reactions to severe stress,F43.89,ICD10CM,Anxiety
35207177,"Reaction to severe stress, unspecified",F43.9,ICD10CM,Anxiety
45552484,"Reaction to severe stress, unspecified",F43.9,ICD10,Anxiety
45576563,Separation anxiety disorder of childhood,F93.0,ICD10,Anxiety
35207272,Separation anxiety disorder of childhood,F93.0,ICD10CM,Anxiety
45562067,Phobic anxiety disorder of childhood,F93.1,ICD10,Anxiety
45586264,Social anxiety disorder of childhood,F93.2,ICD10,Anxiety
45576564,Disorders of social functioning with onset specific to childhood and adolescence,F94,ICD10,Anxiety
1568266,Disorders of social functioning with onset specific to childhood and adolescence,F94,ICD10CM,Anxiety
45562068,Elective mutism,F94.0,ICD10,Anxiety
35207275,Selective mutism,F94.0,ICD10CM,Anxiety
45542450,Person with feared complaint in whom no diagnosis is made,Z71.1,ICD10,Anxiety
35225264,Person with feared health complaint in whom no diagnosis is made,Z71.1,ICD10CM,Anxiety
35225276,Burn-out,Z73.0,ICD10CM,Anxiety
45576177,Burn-out,Z73.0,ICD10,Anxiety
45602036,Anorexia,R63.0,ICD10,AppetiteLoss
35211405,Anorexia,R63.0,ICD10CM,AppetiteLoss
45577806,Early satiety,R68.81,ICD10CM,AppetiteLoss
45572078,Angina pectoris,I20,ICD10,ChestPain
1569125,Angina pectoris,I20,ICD10CM,ChestPain
35207680,Unstable angina,I20.0,ICD10CM,ChestPain
45586570,Unstable angina,I20.0,ICD10,ChestPain
45533435,Angina pectoris with documented spasm,I20.1,ICD10,ChestPain
35207681,Angina pectoris with documented spasm,I20.1,ICD10CM,ChestPain
37402489,Refractory angina pectoris,I20.2,ICD10CM,ChestPain
45543166,Other forms of angina pectoris,I20.8,ICD10,ChestPain
35207682,Other forms of angina pectoris,I20.8,ICD10CM,ChestPain
35207683,"Angina pectoris, unspecified",I20.9,ICD10CM,ChestPain
45562339,"Angina pectoris, unspecified",I20.9,ICD10,ChestPain
35211284,Chest pain on breathing,R07.1,ICD10CM,ChestPain
45577779,Chest pain on breathing,R07.1,ICD10,ChestPain
45568108,Precordial pain,R07.2,ICD10,ChestPain
35211285,Precordial pain,R07.2,ICD10CM,ChestPain
45597166,Other chest pain,R07.3,ICD10,ChestPain
45558450,"Chest pain, unspecified",R07.4,ICD10,ChestPain
1572194,Other chest pain,R07.8,ICD10CM,ChestPain
45587497,Pleurodynia,R07.81,ICD10CM,ChestPain
45597167,Intercostal pain,R07.82,ICD10CM,ChestPain
45602002,Other chest pain,R07.89,ICD10CM,ChestPain
45534424,"Chest pain, unspecified",R07.9,ICD10CM,ChestPain
35211275,Cough,R05,ICD10CM,Cough
766424,Acute cough,R05.1,ICD10CM,Cough
766427,Cough syncope,R05.4,ICD10CM,Cough
766428,Other specified cough,R05.8,ICD10CM,Cough
766429,"Cough, unspecified",R05.9,ICD10CM,Cough
766425,Subacute cough,R05.2,ICD10CM,Cough
766426,Chronic cough,R05.3,ICD10CM,Cough
45755433,Gingivitis and periodontal diseases,K05,ICD10,DentalGumProblems
1569528,Gingivitis and periodontal diseases,K05,ICD10CM,DentalGumProblems
1569529,Acute gingivitis,K05.0,ICD10CM,DentalGumProblems
45576970,Acute gingivitis,K05.0,ICD10,DentalGumProblems
45605911,"Acute gingivitis, plaque induced",K05.00,ICD10CM,DentalGumProblems
45591571,"Acute gingivitis, non-plaque induced",K05.01,ICD10CM,DentalGumProblems
1569530,Chronic gingivitis,K05.1,ICD10CM,DentalGumProblems
45605912,Chronic gingivitis,K05.1,ICD10,DentalGumProblems
45586693,"Chronic gingivitis, plaque induced",K05.10,ICD10CM,DentalGumProblems
45596294,"Chronic gingivitis, non-plaque induced",K05.11,ICD10CM,DentalGumProblems
45572187,Acute periodontitis,K05.2,ICD10,DentalGumProblems
1569531,Aggressive periodontitis,K05.2,ICD10CM,DentalGumProblems
45576971,"Aggressive periodontitis, unspecified",K05.20,ICD10CM,DentalGumProblems
45576972,"Aggressive periodontitis, localized",K05.21,ICD10CM,DentalGumProblems
37200588,"Aggressive periodontitis, localized, slight",K05.211,ICD10CM,DentalGumProblems
37200589,"Aggressive periodontitis, localized, moderate",K05.212,ICD10CM,DentalGumProblems
37200590,"Aggressive periodontitis, localized, severe",K05.213,ICD10CM,DentalGumProblems
37200591,"Aggressive periodontitis, localized, unspecified severity",K05.219,ICD10CM,DentalGumProblems
45543289,"Aggressive periodontitis, generalized",K05.22,ICD10CM,DentalGumProblems
37200592,"Aggressive periodontitis, generalized, slight",K05.221,ICD10CM,DentalGumProblems
37200593,"Aggressive periodontitis, generalized, moderate",K05.222,ICD10CM,DentalGumProblems
37200594,"Aggressive periodontitis, generalized, severe",K05.223,ICD10CM,DentalGumProblems
37200595,"Aggressive periodontitis, generalized, unspecified severity",K05.229,ICD10CM,DentalGumProblems
1569532,Chronic periodontitis,K05.3,ICD10CM,DentalGumProblems
45586694,Chronic periodontitis,K05.3,ICD10,DentalGumProblems
45548136,"Chronic periodontitis, unspecified",K05.30,ICD10CM,DentalGumProblems
45586695,"Chronic periodontitis, localized",K05.31,ICD10CM,DentalGumProblems
37200596,"Chronic periodontitis, localized, slight",K05.311,ICD10CM,DentalGumProblems
37200597,"Chronic periodontitis, localized, moderate",K05.312,ICD10CM,DentalGumProblems
37200598,"Chronic periodontitis, localized, severe",K05.313,ICD10CM,DentalGumProblems
37200599,"Chronic periodontitis, localized, unspecified severity",K05.319,ICD10CM,DentalGumProblems
45552908,"Chronic periodontitis, generalized",K05.32,ICD10CM,DentalGumProblems
37200600,"Chronic periodontitis, generalized, slight",K05.321,ICD10CM,DentalGumProblems
37200601,"Chronic periodontitis, generalized, moderate",K05.322,ICD10CM,DentalGumProblems
37200602,"Chronic periodontitis, generalized, severe",K05.323,ICD10CM,DentalGumProblems
37200603,"Chronic periodontitis, generalized, unspecified severity",K05.329,ICD10CM,DentalGumProblems
35208143,Periodontosis,K05.4,ICD10CM,DentalGumProblems
45562477,Periodontosis,K05.4,ICD10,DentalGumProblems
45596295,Other periodontal diseases,K05.5,ICD10,DentalGumProblems
35208144,Other periodontal diseases,K05.5,ICD10CM,DentalGumProblems
45605913,"Periodontal disease, unspecified",K05.6,ICD10,DentalGumProblems
